ugly	-4.44	1.07
fatal	-4.19	1.33
dangerous	-4.12	1.24
damned	-4.06	0.80
stupid	-3.99	0.93
consequences	-3.91	1.42
hatred	-3.86	1.01
bitterly	-3.84	0.86
terrible	-3.80	1.38
dreadful	-3.68	1.27
tragic	-3.65	1.45
blame	-3.50	1.41
blind	-3.49	0.86
regularly	-3.45	1.94
worse	-3.42	1.69
accident	-3.41	1.34
miserable	-3.40	1.07
ill	-3.38	1.52
poison	-3.35	1.32
fool	-3.34	0.85
mess	-3.34	1.99
inevitable	-3.31	1.51
silly	-3.30	1.41
queer	-3.28	1.41
ghost	-3.24	1.76
feared	-3.24	1.23
horror	-3.23	1.25
painful	-3.21	1.46
cruel	-3.15	0.91
bloody	-3.12	0.57
enemies	-3.11	1.38
bitter	-3.09	0.58
worst	-3.08	1.31
destruction	-3.08	1.54
sin	-3.07	1.20
mr	-3.05	2.04
devil	-3.02	1.46
inevitably	-2.98	1.57
killing	-2.91	1.36
awful	-2.91	1.65
waste	-2.86	0.58
violence	-2.85	1.53
admit	-2.84	1.72
greeks	-2.83	1.71
poverty	-2.78	1.00
damn	-2.77	1.12
uncertain	-2.77	1.69
dirty	-2.77	0.62
upset	-2.76	1.55
desperately	-2.76	1.79
helpless	-2.74	1.05
badly	-2.74	1.50
hungry	-2.74	1.32
savage	-2.73	0.51
victim	-2.73	0.60
rage	-2.72	1.49
deadly	-2.71	0.71
suffered	-2.70	0.57
external	-2.67	1.85
italians	-2.67	1.97
uneasy	-2.66	1.69
useless	-2.66	0.66
muttered	-2.64	1.33
fear	-2.59	1.53
death	-2.59	0.49
sick	-2.58	1.16
frightened	-2.53	1.83
fury	-2.52	1.64
ruin	-2.50	0.44
finds	-2.49	2.05
weak	-2.49	1.11
kill	-2.49	1.64
restless	-2.49	1.85
suffer	-2.48	0.43
re	-2.48	2.34
terror	-2.48	1.00
vague	-2.48	1.69
violent	-2.46	0.71
vaguely	-2.44	1.51
repeat	-2.44	1.72
gods	-2.44	1.93
misery	-2.44	0.89
anger	-2.43	1.61
mistake	-2.43	1.56
necessarily	-2.41	1.86
confused	-2.40	1.94
disaster	-2.39	0.54
ridiculous	-2.36	1.62
suspicion	-2.34	1.75
arc	-2.33	2.30
furious	-2.33	0.65
precious	-2.30	2.16
angrily	-2.30	0.67
committed	-2.29	0.51
punishment	-2.29	0.44
mankind	-2.26	2.19
shaken	-2.26	1.95
worried	-2.25	1.94
dull	-2.25	0.84
jordan	-2.24	2.07
mysterious	-2.23	1.83
nonsense	-2.22	0.58
knowing	-2.22	1.82
grim	-2.21	0.82
beings	-2.19	2.06
habit	-2.18	2.19
despair	-2.16	1.12
exhausted	-2.15	0.88
ashamed	-2.14	1.85
ruined	-2.13	1.62
hunger	-2.13	0.54
shame	-2.13	1.01
heaven	-2.11	1.87
panic	-2.10	0.93
